8.387	1	1
10.221	1	1
11.955	1	1
14.956	1	1
16.807	1	1
18.824	1	1
21.509	1	1
23.226	1	1
24.943	1	1
29.061	1	1
30.996	1	1
32.73	1	1
34.597	1	1
36.664	1	1
40.833	1	1
42.633	1	1
44.467	1	1
46.318	1	1
48.136	1	1
51.637	1	1
53.354	1	1
55.172	1	1
58.973	1	1
60.74	1	1
62.474	1	1
64.392	1	1
66.209	1	1
70.144	1	1
71.861	1	1
73.746	1	1
75.463	1	1
77.647	1	1
79.448	1	1
81.248	1	1
82.999	1	1
84.867	1	1
86.701	1	1
91.969	1	1
94.02	1	1
98.172	1	1
100.189	1	1
102.34	1	1
106.091	1	1
108.259	1	1
112.077	1	1
114.561	1	1
116.279	1	1
118.33	1	1
120.647	1	1
122.581	1	1
124.482	1	1
126.249	1	1
130.168	1	1
132.152	1	1
135.853	1	1
137.587	1	1
139.671	1	1
142.389	1	1
144.19	1	1
146.307	1	1
151.809	1	1
156.428	1	1
158.262	1	1
160.163	1	1
161.947	1	1
165.681	1	1
169.233	1	1
171.033	1	1
173.968	1	1
175.702	1	1
179.32	1	1
181.171	1	1
183.005	1	1
184.739	1	1
186.456	1	1
190.258	1	1
192.792	1	1
194.526	1	1
198.878	1	1
200.645	1	1
202.379	1	1
204.196	1	1
206.047	1	1
208.098	1	1
211.849	1	1
213.8	1	1
215.567	1	1
217.302	1	1
221.12	1	1
222.92	1	1
224.654	1	1
231.324	1	1
233.208	1	1
234.925	1	1
238.81	1	1
240.861	1	1
242.661	1	1
244.579	1	1
248.297	1	1
250.064	1	1
252.248	1	1
255.95	1	1
257.667	1	1
259.868	1	1
261.719	1	1
263.953	1	1
267.771	1	1
269.522	1	1
271.806	1	1
273.523	1	1
275.257	1	1
277.175	1	1
280.743	1	1
282.444	1	1
285.928	1	1
287.696	1	1
289.78	1	1
291.464	1	1
293.364	1	1
295.099	1	1
301.168	1	1
303.068	1	1
305.536	1	1
309.454	1	1
311.188	1	1
313.089	1	1
317.04	1	1
318.791	1	1
320.525	1	1
322.342	1	1
324.243	1	1
330.029	1	1
333.597	1	1
335.348	1	1
337.265	1	1
338.982	1	1
340.716	1	1
342.65	1	1
346.102	1	1
347.836	1	1
351.654	1	1
