

Emo_Nback_RecMem_CDbox_20160815,YALE,BE6KKTH2,1.000,12-Jan-2016,0.500,0.333,0.167,-0.100,0.500,0.667,0.431,0.417,0.167,0.250,-0.278,0.583,0.833,0.757,0.667,0.250,0.417,-0.071,0.333,0.750,1.105,0.417,0.417,0.000,-0.083,0.583,0.583,0.000,0.500,0.500,1.000,0.333,0.500,0.333,0.333,0.500,0.333,0.667,0.500,0.333,0.500,0.400,0.500,0.833,0.600,0.333,0.500,0.400,0.625,0.250,0.625,0.750, NaN, NaN,

Emo_Nback_RecMem_CDbox_20160815,YALE,D6X8GC05,1.000,14-Dec-2016,0.417,0.417,0.000,-0.083,0.583,0.583,0.000,0.583,0.333,0.250,-0.056,0.417,0.667,0.641,0.417,0.583,-0.167,0.000,0.583,0.417,-0.421,0.500,0.583,-0.083,0.038,0.500,0.417,-0.210,0.500,0.667,0.333,0.333,0.333,0.500,0.500,0.667,0.500,0.333,0.400,0.667,0.500,0.500,0.333,0.500,0.500,0.333,0.667,0.600,0.375,0.750,0.625,0.375, NaN, NaN,

Emo_Nback_RecMem_CDbox_20160815,YALE,DRRTEW06,1.000,15-Jan-2016,0.417,0.167,0.250,-0.278,0.583,0.833,0.757,0.250,0.000,0.250,-0.500,0.750,1.000,1.888,0.667,0.333,0.333,-0.000,0.333,0.667,0.861,0.750,0.000,0.750,-0.500,0.250,1.000,3.237,0.500,0.167,0.667,0.500,0.333,0.333,0.667,1.000,0.333,0.500,0.400,0.167,0.333,0.200,0.833,0.500,0.700,0.833,0.667,0.800,0.500,0.500,0.375,0.625, NaN, NaN,

Emo_Nback_RecMem_CDbox_20160815,YALE,F72J4L68,3.000,18-Jan-2016,0.667,0.500,0.167,0.100,0.333,0.500,0.431,0.417,0.250,0.167,-0.200,0.583,0.750,0.464,0.333,0.500,-0.167,-0.071,0.667,0.500,-0.431,0.417,0.250,0.167,-0.200,0.583,0.750,0.464,0.500,0.667,0.333,0.500,0.833,0.167,0.333,0.333,0.667,0.667,0.700,0.500,0.333,0.300,0.143,0.600,0.333,0.167,0.667,0.500,0.444,0.333,0.556,0.667, NaN, NaN,

Emo_Nback_RecMem_CDbox_20160815,YALE,FCJYVJEY,1.000,22-Jan-2016,0.167,0.083,0.083,-0.409,0.833,0.917,0.416,0.083,0.083,0.000,-0.417,0.917,0.917,0.000,0.083,0.167,-0.083,-0.346,0.917,0.833,-0.416,0.250,0.083,0.167,-0.400,0.750,0.917,0.709,0.333,0.167,0.167,0.167,0.000,0.000,0.000,0.333,0.167,0.167,0.100,0.167,0.000,0.000,0.167,0.000,0.000,0.500,0.000,0.200,0.500,0.250,0.000,0.000, NaN, NaN,

