ExperimentName,Site,NDARGUID,Version,Overall_RT,Overall_ACC,HappyBlocks_RT,HappyBlocks_ACC,FearBlocks_RT,FearBlocks_ACC,NeutBlocks_RT,NeutBlocks_ACC,PlaceBlocks_RT,PlaceBlocks_ACC,Overall0back_RT,Overall0back_ACC,Happy0back_RT,Happy0back_ACC,Fear0back_RT,Fear0back_ACC,Neut0back_RT,Neut0back_ACC,Place0back_RT,Place0back_ACC,Overall2back_RT,Overall2back_ACC,Happy2back_RT,Happy2back_ACC,Fear2back_RT,Fear2back_ACC,Neut2back_RT,Neut2back_ACC,Place2back_RT,Place2back_ACC,run1Overall_RT,run1Overall_ACC,run1HappyBlocks_RT,run1HappyBlocks_ACC,run1FearBlocks_RT,run1FearBlocks_ACC,run1NeutBlocks_RT,run1NeutBlocks_ACC,run1PlaceBlocks_RT,run1PlaceBlocks_ACC,run1Happy0back_RT,run1Happy0back_ACC,run1Fear0back_RT,run1Fear0back_ACC,run1Neut0back_RT,run1Neut0back_ACC,run1Place0back_RT,run1Place0back_ACC,run1Happy2back_RT,run1Happy2back_ACC,run1Fear2back_RT,run1Fear2back_ACC,run1Neut2back_RT,run1Neut2back_ACC,run1Place2back_RT,run1Place2back_ACC,run2Overall_RT,run2Overall_ACC,run2HappyBlocks_RT,run2HappyBlocks_ACC,run2FearBlocks_RT,run2FearBlocks_ACC,run2NeutBlocks_RT,run2NeutBlocks_ACC,run2PlaceBlocks_RT,run2PlaceBlocks_ACC,run2Happy0back_RT,run2Happy0back_ACC,run2Fear0back_RT,run2Fear0back_ACC,run2Neut0back_RT,run2Neut0back_ACC,run2Place0back_RT,run2Place0back_ACC,run2Happy2back_RT,run2Happy2back_ACC,run2Fear2back_RT,run2Fear2back_ACC,run2Neut2back_RT,run2Neut2back_ACC,run2Place2back_RT,run2Place2back_ACC,Nonlure_ACC,Lure_ACC,Target_ACC,HappyTargetHR,HappyLureFA,HappyNonlureFA,FearTargetHR,FearLureFA,FearNonlureFA,NeutTargetHR,NeutLureFA,NeutNonlureFA,PlaceTargetHR,PlaceLureFA,PlaceNonlureFA
Emo_Nback_GE_20160829,UMICH,2X8P07FC,4,1018.01,0.656,983.083,0.6,1059.607,0.7,1047.815,0.675,974.5,0.65,1008.467,0.562,988.143,0.35,1033.273,0.55,1080.812,0.8,891.364,0.55,1025.167,0.75,981,0.85,1076.647,0.85,999.818,0.55,1035.467,0.75,1078.872,0.487,1067.9,0.5,1219.583,0.6,956.3,0.5,1028.429,0.35,998,0.1,1206,0.4,962.571,0.7,910,0.2,1075.667,0.9,1226.375,0.8,941.667,0.3,1075.8,0.5,982.045,0.825,922.5,0.7,939.625,0.8,1101.647,0.85,954.632,0.95,986.5,0.6,934.571,0.7,1172.778,0.9,887.222,0.9,874.5,0.8,943.556,0.9,1021.625,0.8,1015.3,1,0.609,0.312,0.688,0.5,0.5,0.682,0.75,0.4,0.818,0.75,0.7,0.636,0.75,0.6,0.636
Emo_Nback_GE_20160913,UMICH,395VW31D,2,962.979,0.606,1093.69,0.725,868.913,0.575,937.333,0.675,911.056,0.45,995.727,0.688,1121.733,0.75,974.308,0.65,954.467,0.75,913,0.6,920.095,0.525,1063.643,0.7,731.9,0.5,915.917,0.6,907.167,0.3,1048.978,0.575,1058.2,0.75,1094.182,0.55,1030.385,0.65,992.714,0.35,1129,0.8,1150,0.6,831.571,0.7,1036.167,0.6,977.286,0.7,1027.2,0.5,1262.333,0.6,732,0.1,885.412,0.637,1131.714,0.7,662.417,0.6,850.929,0.7,859.091,0.55,1113.429,0.7,823.714,0.7,1062,0.8,789.833,0.6,1150,0.7,436.6,0.5,569.5,0.6,942.2,0.5,0.826,0.781,0.281,0.375,0.9,0.773,0.375,0.5,0.682,0.125,0.9,0.773,0.25,0.5,0.5
Emo_Nback_GE_20160913,UMICH,5UHHRZBV,3,1158.1,0.125,974,0.025,1159.417,0.3,1349.667,0.075,1056.5,0.1,1144.455,0.138, NaN,0,1027.333,0.3,1349.667,0.15,1188,0.1,1174.778,0.113,974,0.05,1291.5,0.3, NaN,0,925,0.1,1163.545,0.138, NaN,0,1141.667,0.45,1399,0.05,1125,0.05, NaN,0,1027.333,0.6,1399,0.1,1125,0.1, NaN,0,1370.333,0.3, NaN,0, NaN,0,1151.444,0.113,974,0.05,1212.667,0.15,1325,0.1,1033.667,0.15, NaN,0, NaN,0,1325,0.2,1251,0.1,974,0.1,1212.667,0.3, NaN,0,925,0.2,0.065,0.188,0.312,0.125,0,0,0.5,0.5,0.136,0.25,0,0.045,0.375,0,0.045
Emo_Nback_GE_20160913,UMICH,64GAJKPV,4,1103.415,0.769,1115.583,0.9,1087.364,0.825,1118.788,0.825,1083.619,0.525,994.373,0.738,950.833,0.9,956.706,0.85,986.875,0.8,1187.375,0.4,1203.938,0.8,1280.333,0.9,1226.188,0.8,1242.941,0.85,1019.769,0.65,1084.746,0.738,1096.941,0.85,1049.625,0.8,1089.188,0.8,1113.1,0.5,972.5,0.8,911.667,0.9,899.714,0.7,1276.667,0.3,1207.556,0.9,1227,0.7,1236.556,0.9,1043,0.7,1120.625,0.8,1132.263,0.95,1122.882,0.85,1146.647,0.85,1056.818,0.55,933.5,1,1007.375,0.8,1054.667,0.9,1133.8,0.5,1353.111,0.9,1225.556,0.9,1250.125,0.8,992.667,0.6,0.848,0.812,0.75,1,0.8,0.909,0.75,0.8,0.864,0.875,0.4,1,0.375,0.5,0.591
Emo_Nback_GE_20160913,UMICH,AWAEU3P4,4,1143.434,0.894,1042.432,0.925,1193.882,0.85,1074.027,0.925,1274.571,0.875,1049.234,0.963,1005.55,1,1067.412,0.85,943,1,1183.7,1,1253.333,0.825,1085.824,0.85,1320.353,0.85,1228.176,0.85,1395.733,0.75,1180.37,0.912,1028.333,0.9,1266.421,0.95,1106.421,0.95,1327.824,0.85,969.4,1,1147.5,1,963.8,1,1266.5,1,1102,0.8,1398.556,0.9,1264.889,0.9,1415.429,0.7,1104.914,0.875,1055.789,0.95,1102,0.75,1039.833,0.9,1224.278,0.9,1041.7,1,953,0.7,922.2,1,1100.9,1,1071.444,0.9,1232.375,0.8,1186.875,0.8,1378.5,0.8,0.891,0.938,0.844,0.875,1,0.909,0.75,0.9,0.864,1,0.8,0.955,0.75,0.9,0.909
Emo_Nback_GE_20160913,UMICH,BTLEZJL0,3,1227.778,0.225,1260,0.225,1220.5,0.3,1226.222,0.225,1196.333,0.15,1244.042,0.3,1251,0.4,1210.857,0.35,1220.833,0.3,1349.333,0.15,1195.25,0.15,1332,0.05,1234,0.25,1237,0.15,1043.333,0.15,1220.2,0.25,1158.6,0.25,1201.5,0.4,1293.2,0.25,1266.5,0.1,1115.25,0.4,1087.75,0.4,1257.667,0.3,1408,0.1,1332,0.1,1315.25,0.4,1346.5,0.2,1125,0.1,1237.25,0.2,1386.75,0.2,1258.5,0.2,1142.5,0.2,1161.25,0.2,1386.75,0.4,1375,0.3,1184,0.3,1320,0.2, NaN,0,909,0.1,1018,0.1,1002.5,0.2,0.065,0.312,0.219,0.25,0.5,0.091,0.375,0.6,0.136,0.125,0.8,0,0.125,0.5,0
Emo_Nback_GE_20160913,UMICH,C96XA4XL,1,1036.213,0.85,1060.273,0.825,995.703,0.925,1029.892,0.925,1068.586,0.725,962.855,0.95,959.263,0.95,922.158,0.95,891.05,1,1089.389,0.9,1129.133,0.75,1197.357,0.7,1073.333,0.9,1193.235,0.85,1034.545,0.55,1015.773,0.825,1105.214,0.7,946.444,0.9,1045.722,0.9,981.812,0.8,1098.556,0.9,849.1,1,954.2,1,1083.4,1,1117.2,0.5,1068.125,0.8,1160.125,0.8,812.5,0.6,1055.486,0.875,1027.158,0.95,1042.368,0.95,1014.895,0.95,1175.385,0.65,833.9,1,1003.333,0.9,827.9,1,1096.875,0.8,1241.889,0.9,1077.5,1,1222.667,0.9,1301,0.5,0.957,0.812,0.719,0.875,0.6,0.909,0.875,0.8,1,0.75,0.9,1,0.375,0.7,0.864
Emo_Nback_GE_20160913,UMICH,DE8G5XB3,2,738.527,0.806,623.629,0.875,873.848,0.825,711.375,0.8,753.172,0.725,882.845,0.887,781.316,0.95,1073.706,0.85,806.375,0.8,878,0.95,561.862,0.725,436.375,0.8,661.5,0.8,616.375,0.8,516,0.5,836.344,0.8,707.389,0.9,1008.938,0.8,831,0.85,809.462,0.65,888.7,1,1237.875,0.8,788.556,0.9,863.8,1,480.75,0.8,780,0.8,878.75,0.8,628.333,0.3,642.215,0.812,534.941,0.85,746.706,0.85,575.8,0.75,707.438,0.8,662,0.9,927.778,0.9,829.286,0.7,893.778,0.9,392,0.8,543,0.8,354,0.8,467.857,0.7,0.957,1,0.312,0.375,1,1,0.25,1,0.955,0.25,0.8,1,0.375,1,0.727
Emo_Nback_GE_20160913,UMICH,EYLZ9J7D,3,843.106,0.825,783.056,0.9,898.621,0.725,731.212,0.825,967.941,0.85,818.958,0.887,752.85,1,862.357,0.7,719.222,0.9,951.053,0.95,871.213,0.762,820.812,0.8,932.467,0.75,745.6,0.75,989.333,0.75,948.354,0.812,839.235,0.85,1058.267,0.75,783.706,0.85,1136.188,0.8,804.3,1,1054.714,0.7,772.667,0.9,1151,0.9,889.143,0.7,1061.375,0.8,796.125,0.8,1117.143,0.7,741,0.838,732.789,0.95,727.571,0.7,675.438,0.8,818.389,0.9,701.4,1,670,0.7,665.778,0.9,771.1,1,767.667,0.9,785.143,0.7,687.857,0.7,877.5,0.8,0.978,0.844,0.406,0.625,0.9,1,0.125,0.7,0.955,0.375,0.8,1,0.5,0.9,0.955
Emo_Nback_GE_20160913,UMICH,FVBUVXGF,4,1113.869,0.906,1073.026,0.975,1167.914,0.875,1090.103,0.975,1133.5,0.8,1060.767,0.912,1086.3,1,1156.125,0.8,982.45,1,1033.118,0.85,1167.708,0.9,1059.053,0.95,1177.842,0.95,1203.421,0.95,1247.267,0.75,1237.581,0.925,1237.368,0.95,1296.947,0.95,1139.65,1,1289.75,0.8,1298.9,1,1273.9,1,1021.1,1,1103.4,1,1169,0.9,1322.556,0.9,1258.2,1,1600.333,0.6,984.93,0.887,916.9,1,1014.688,0.8,1037.947,0.95,977.25,0.8,873.7,1,959.833,0.6,943.8,1,932.714,0.7,960.1,1,1047.6,1,1142.556,0.9,1011.889,0.9,0.957,0.938,0.844,1,0.9,1,0.75,0.9,0.909,1,0.9,1,0.625,0.6,0.955
